Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1, Liverpool,17,11,5,1,41,19,22,38,2.24,38.5,14.8,23.6,1.39
2, Arsenal,17,8,7,2,30,14,16,31,1.82,25.2,17.2,8.1,0.47
3, Manchester City,17,7,4,6,27,21,6,25,1.47,26,23.8,2.2,0.13
4, Nott'ham Forest,17,9,2,6,29,28,1,29,1.71,20,25.7,-5.7,-0.33
5, Newcastle Utd,17,8,3,6,27,25,2,27,1.59,27.6,21.7,5.9,0.35
6, Chelsea,17,7,4,6,28,23,5,25,1.47,28.9,25.6,3.3,0.19
7, Aston Villa,17,7,2,8,23,29,-6,23,1.35,21.2,27.9,-6.7,-0.39
8, Bournemouth,17,6,7,4,32,26,6,25,1.47,30.6,23.3,7.3,0.43
9, Fulham,16,6,4,6,22,20,2,22,1.38,22.8,20.2,2.6,0.16
10, Brighton,17,6,5,6,30,32,-2,23,1.35,24.4,26.9,-2.4,-0.14
11, Brentford,16,5,3,8,22,21,1,18,1.13,19.9,24.4,-4.6,-0.29
12, Crystal Palace,17,6,6,5,24,24,0,24,1.41,24.8,24.2,0.5,0.03
13, Everton,16,4,6,6,12,19,-7,18,1.13,16.2,20.6,-4.4,-0.28
14, Manchester Utd,16,4,5,7,17,20,-3,17,1.06,18.5,23.8,-5.3,-0.33
15, Wolves,17,6,3,8,25,32,-7,21,1.24,18.6,26.7,-8.1,-0.48
16, Tottenham,16,5,1,10,27,22,5,16,1,23.6,24.8,-1.1,-0.07
17, West Ham,16,4,5,7,16,24,-8,17,1.06,20.2,23.4,-3.2,-0.2
18, Ipswich Town,16,3,5,8,20,31,-11,14,0.88,15.2,35.9,-20.7,-1.3
19, Leicester City,16,2,3,11,16,39,-23,9,0.56,13.3,34.7,-21.4,-1.34
20, Southampton,17,1,3,13,13,35,-22,6,0.35,13.7,34.4,-20.7,-1.22
