Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1, Liverpool,16,13,2,1,34,12,22,41,2.56,33.7,13.7,20,1.25
2, Arsenal,17,10,6,1,33,15,18,36,2.12,27.8,11.8,16,0.94
3, Manchester City,17,11,3,3,39,22,17,36,2.12,35.2,21,14.2,0.83
4, Nott'ham Forest,16,9,4,3,24,11,13,31,1.94,19.5,16.4,3.1,0.19
5, Newcastle Utd,16,10,2,4,35,19,16,32,2,27.8,20.6,7.2,0.45
6, Chelsea,16,9,5,2,30,17,13,32,2,32.4,17.2,15.2,0.95
7, Aston Villa,17,9,7,1,31,20,11,34,2,31.2,17.1,14,0.83
8, Bournemouth,16,7,3,6,20,14,6,24,1.5,28.5,18.7,9.7,0.61
9, Fulham,17,7,5,5,26,25,1,26,1.53,20,18.8,1.2,0.07
10, Brighton,16,6,7,3,23,21,2,25,1.56,26.3,19.5,6.8,0.42
11, Brentford,17,8,4,5,34,29,5,28,1.65,29.8,25.6,4.2,0.24
12, Crystal Palace,17,5,6,6,19,23,-4,21,1.24,26.6,19.9,6.6,0.39
13, Everton,17,4,8,5,22,21,1,20,1.18,19.7,20.8,-1.1,-0.07
14, Manchester Utd,17,6,3,8,21,26,-5,21,1.24,24.9,23.9,1,0.06
15, Wolves,16,5,2,9,23,29,-6,17,1.06,19.4,24.9,-5.5,-0.34
16, Tottenham,17,6,3,8,34,29,5,21,1.24,30.7,28.5,2.2,0.13
17, West Ham,17,5,4,8,21,31,-10,19,1.12,20.8,29.5,-8.6,-0.51
18, Ipswich Town,17,1,4,12,13,40,-27,7,0.41,15.2,30.6,-15.4,-0.91
19, Leicester City,17,2,3,12,11,34,-23,9,0.53,14.7,30.4,-15.8,-0.93
20, Southampton,16,1,2,13,11,43,-32,5,0.31,15.9,40,-24,-1.5
