Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,25,34,531,314,195,227,109,230,458,50.2,228,290,95,195,204,735,587,26
Aston Villa,28,34,587,339,270,232,85,279,495,56.4,216,298,98,200,223,810,700,40
Bournemouth,29,33,629,367,263,275,91,270,566,47.7,296,404,118,286,315,944,893,19
Brentford,28,33,550,332,252,193,105,274,514,53.3,240,421,172,249,258,808,928,24
Brighton,31,33,596,359,242,252,102,292,607,48.1,315,381,106,275,276,872,660,25
Chelsea,29,33,498,312,211,204,83,235,473,49.7,238,308,91,217,237,735,572,43
Crystal Palace,29,34,699,409,339,271,89,299,596,50.2,297,431,124,307,290,989,953,19
Everton,26,33,649,379,326,236,87,296,565,52.4,269,345,126,219,292,941,977,20
Fulham,26,33,585,358,280,231,74,250,492,50.8,242,326,95,231,274,859,768,28
Ipswich Town,32,33,522,294,257,194,71,251,536,46.8,285,385,164,221,285,807,944,35
Leicester City,30,33,639,372,325,240,74,292,610,47.9,318,433,166,267,287,926,863,27
Liverpool,24,33,570,350,238,240,92,304,579,52.5,275,312,81,231,265,835,635,24
Manchester City,29,34,444,271,167,194,83,190,403,47.1,213,302,80,222,200,644,558,30
Manchester Utd,31,33,721,432,348,272,101,345,631,54.7,286,327,95,232,331,1052,664,21
Newcastle Utd,24,33,536,332,242,208,86,274,529,51.8,255,376,126,250,247,783,757,29
Nott'ham Forest,23,33,613,373,366,189,58,299,583,51.3,284,382,141,241,280,893,1044,20
Southampton,35,33,581,336,270,246,65,247,514,48.1,267,366,161,205,269,850,799,48
Tottenham,31,33,592,377,248,252,92,271,535,50.7,264,374,126,248,274,866,659,36
West Ham,27,33,554,331,271,210,73,241,461,52.3,220,400,152,248,293,847,894,24
Wolves,30,33,691,403,360,268,63,315,580,54.3,265,391,130,261,273,964,847,24
