Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,25,34,855,25.15,641,76,41,56,31,10,108,3.18,78,11,4,10,4,1
Aston Villa,28,34,782,23,549,81,46,55,38,13,94,2.76,75,5,3,6,4,1
Bournemouth,29,33,916,27.76,700,61,39,60,35,21,87,2.64,58,5,5,7,10,2
Brentford,28,33,679,20.58,506,60,32,40,31,10,98,2.97,69,9,4,6,9,1
Brighton,31,33,805,24.39,596,56,50,40,49,14,91,2.76,64,5,8,4,8,2
Chelsea,29,33,965,29.24,743,56,49,62,36,19,100,3.03,71,5,8,8,6,2
Crystal Palace,29,34,768,22.59,555,67,29,61,44,12,74,2.18,48,8,5,8,4,1
Everton,26,33,621,18.82,467,52,40,24,28,10,52,1.58,34,3,4,3,5,3
Fulham,26,33,785,23.79,592,65,34,58,22,14,87,2.64,68,3,5,4,4,3
Ipswich Town,32,33,556,16.85,382,65,44,25,28,12,52,1.58,41,2,5,2,2,0
Leicester City,30,33,508,15.39,378,42,36,22,26,4,47,1.42,31,4,5,3,4,0
Liverpool,24,33,1009,30.58,779,57,72,64,22,15,132,4,103,4,9,9,6,1
Manchester City,29,34,980,28.82,767,61,61,48,34,9,114,3.35,87,3,10,9,3,2
Manchester Utd,31,33,781,23.67,593,65,33,45,31,14,59,1.79,37,4,4,5,5,4
Newcastle Utd,24,33,783,23.73,592,59,37,40,32,23,104,3.15,87,5,3,4,3,2
Nott'ham Forest,23,33,693,21,501,62,33,49,31,17,83,2.52,56,8,3,7,6,3
Southampton,35,33,564,17.09,399,50,41,42,25,7,38,1.15,23,3,3,8,0,1
Tottenham,31,33,826,25.03,615,62,51,57,31,10,101,3.06,77,5,8,7,3,1
West Ham,27,33,717,21.73,511,61,43,59,29,14,51,1.55,29,5,3,11,3,0
Wolves,30,33,641,19.42,460,47,51,30,32,21,84,2.55,68,2,7,1,2,4
