Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,34,34,"3,060",34,29,0.85,106,77,75.5,18,13,3,12,35.3,3,3,0,0,0
Aston Villa,2,34,34,"3,060",34,49,1.44,138,88,65.2,16,9,9,6,17.6,2,1,1,0,50
Bournemouth,3,33,33,"2,970",33,40,1.21,154,114,76.6,13,10,10,8,24.2,4,4,0,0,0
Brentford,2,33,33,"2,970",33,50,1.52,180,133,72.8,13,7,13,6,18.2,1,1,0,0,0
Brighton,2,33,33,"2,970",33,53,1.61,128,77,64.1,12,12,9,7,21.2,7,7,0,0,0
Chelsea,2,33,33,"2,970",33,40,1.21,141,100,75.2,16,9,8,8,24.2,6,5,1,0,16.7
Crystal Palace,1,34,34,"3,060",34,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50
Everton,1,33,33,"2,970",33,40,1.21,137,95,70.8,8,14,11,10,30.3,2,0,2,0,100
Fulham,1,33,33,"2,970",33,45,1.36,136,93,68.4,13,9,11,5,15.2,2,2,0,0,0
Ipswich Town,3,33,33,"2,970",33,71,2.15,189,120,65.1,4,9,20,2,6.1,5,5,0,0,0
Leicester City,3,33,33,"2,970",33,73,2.21,189,118,63,4,6,23,1,3,4,3,1,0,25
Liverpool,3,33,33,"2,970",33,31,0.94,106,75,70.8,24,7,2,14,42.4,1,0,1,0,100
Manchester City,2,34,34,"3,060",34,43,1.26,123,82,68.3,18,7,9,10,29.4,4,4,0,0,0
Manchester Utd,2,33,33,"2,970",33,46,1.39,134,88,67.9,10,8,15,9,27.3,4,3,1,0,25
Newcastle Utd,2,33,33,"2,970",33,44,1.33,146,103,70.5,18,5,10,11,33.3,2,1,1,0,50
Nott'ham Forest,1,33,33,"2,970",33,39,1.18,146,107,74.7,18,6,9,13,39.4,2,2,0,0,0
Southampton,3,33,33,"2,970",33,78,2.36,221,141,67.9,2,5,26,2,6.1,9,7,2,0,22.2
Tottenham,4,33,33,"2,970",33,51,1.55,148,100,66.9,11,4,18,6,18.2,2,2,0,0,0
West Ham,2,33,33,"2,970",33,55,1.67,161,109,67.7,9,9,15,6,18.2,3,3,0,0,0
Wolves,3,33,33,"2,970",33,61,1.85,145,86,62.1,11,5,17,7,21.2,7,6,1,0,14.3
