Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,34,29,3,2,6,0,28.7,0.25,-0.3,-0.01,130,413,31.5,1086,156,30,29.4,176,49.4,38.6,356,47,13.2,60,1.76,17.2
Aston Villa,2,34,49,1,1,2,0,47.5,0.34,-1.5,-0.05,154,399,38.6,1056,118,28.3,30.1,261,38.3,33,475,50,10.5,29,0.85,13.8
Bournemouth,3,33,40,4,1,5,0,48.5,0.3,8.5,0.26,156,419,37.2,823,136,37.1,36.8,237,48.1,39.5,419,18,4.3,52,1.58,12.6
Brentford,2,33,50,1,0,2,3,48,0.27,1,0.03,238,618,38.5,1291,113,37,34.6,290,48.3,39.1,528,43,8.1,31,0.94,11.4
Brighton,2,33,53,7,1,4,2,44.4,0.31,-6.6,-0.2,112,337,33.2,1050,114,27.2,25.1,207,24.6,24,384,27,7,48,1.45,15.4
Chelsea,2,33,40,5,0,4,0,41.7,0.26,1.7,0.05,88,366,24,1059,178,31.7,32.3,188,16,19.9,346,35,10.1,53,1.61,15.1
Crystal Palace,1,34,47,1,1,2,3,46.5,0.34,2.5,0.07,143,533,26.8,819,102,48,38.4,267,52.4,42.5,488,26,5.3,37,1.09,14.3
Everton,1,33,40,0,1,6,0,41.9,0.3,1.9,0.06,272,709,38.4,1114,143,51.6,40,247,54.3,43.3,477,26,5.5,56,1.7,15.5
Fulham,1,33,45,2,0,4,2,39.9,0.28,-3.1,-0.09,122,334,36.5,1013,141,25.4,29.1,233,33,30,449,20,4.5,25,0.76,13
Ipswich Town,3,33,71,5,0,8,2,66.1,0.33,-2.9,-0.09,164,467,35.1,857,154,37,35.2,275,54.5,41.7,529,64,12.1,30,0.91,7.6
Leicester City,3,33,73,3,0,4,3,68.4,0.35,-1.6,-0.05,170,598,28.4,1027,157,45.4,32,279,47.3,35.5,530,30,5.7,33,1,20.7
Liverpool,3,33,31,0,0,2,1,30,0.28,0,0,89,281,31.7,905,143,26,26.8,199,23.1,25.1,331,15,4.5,52,1.58,15.7
Manchester City,2,34,43,4,1,4,2,44.1,0.35,3.1,0.09,103,245,42,1075,143,19.8,27.8,170,18.8,23.8,323,17,5.3,54,1.59,17.6
Manchester Utd,2,33,46,3,1,10,1,46.3,0.32,1.3,0.04,111,432,25.7,1071,132,31.4,30,208,46.2,35.7,394,23,5.8,20,0.61,11.5
Newcastle Utd,2,33,44,1,0,4,2,43.8,0.29,1.8,0.05,80,308,26,764,208,23.3,25.2,223,58.3,44.5,438,45,10.3,59,1.79,15.3
Nott'ham Forest,1,33,39,2,1,4,0,42.2,0.28,3.2,0.1,220,636,34.6,576,73,76.6,45.8,292,66.8,47.8,629,17,2.7,6,0.18,7.7
Southampton,3,33,78,7,0,11,0,74.9,0.31,-3.1,-0.09,204,588,34.7,1077,152,43.4,29.5,254,47.6,38,454,30,6.6,23,0.7,6.5
Tottenham,4,33,51,2,0,4,3,53.3,0.35,5.3,0.16,44,135,32.6,898,163,13.9,27.2,233,4.3,14.7,432,40,9.3,38,1.15,11.1
West Ham,2,33,55,3,1,7,3,50.4,0.3,-1.6,-0.05,186,526,35.4,1003,156,36.8,35.4,279,56.3,42.1,518,19,3.7,36,1.09,13.7
Wolves,3,33,61,6,1,11,3,51.2,0.32,-6.8,-0.21,136,478,28.5,866,123,44.1,36.6,215,44.7,36.6,516,35,6.8,50,1.52,13.4
