Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,34,64,5,2,367,360,75,700,204,314,2,3,0,1277,429,417,50.7
Aston Villa,28,34,68,2,1,373,443,50,546,223,339,6,2,0,1266,337,377,47.2
Bournemouth,29,33,84,1,0,447,347,61,729,315,367,7,4,0,1624,516,553,48.3
Brentford,28,33,48,1,0,267,300,62,586,258,332,5,1,3,1423,551,490,52.9
Brighton,31,33,72,3,2,387,365,36,591,276,359,4,7,2,1423,463,409,53.1
Chelsea,29,33,94,1,1,381,391,54,590,237,312,4,6,0,1368,353,349,50.3
Crystal Palace,29,34,75,4,3,374,362,66,540,290,409,3,2,3,1504,462,577,44.5
Everton,26,33,73,2,1,383,322,76,585,292,379,1,2,0,1332,537,494,52.1
Fulham,26,33,69,2,0,369,317,37,759,274,358,3,2,2,1407,460,465,49.7
Ipswich Town,32,33,81,4,3,378,347,46,436,285,294,2,5,2,1267,471,469,50.1
Leicester City,30,33,76,0,0,349,331,55,560,287,372,2,4,3,1308,447,496,47.4
Liverpool,24,33,60,2,1,375,311,54,637,265,350,6,1,1,1405,367,327,52.9
Manchester City,29,34,58,1,1,260,339,42,574,200,271,3,4,2,1302,275,294,48.3
Manchester Utd,31,33,74,3,1,354,320,60,536,331,432,3,4,1,1504,419,428,49.5
Newcastle Utd,24,33,58,1,0,345,397,66,569,247,332,3,2,2,1460,408,394,50.9
Nott'ham Forest,23,33,71,2,2,348,362,78,496,280,373,3,2,0,1363,494,482,50.6
Southampton,35,33,82,3,0,410,377,43,498,269,336,2,9,0,1281,400,340,54.1
Tottenham,31,33,63,1,1,385,428,53,702,274,377,3,2,3,1484,365,375,49.3
West Ham,27,33,71,3,2,380,358,64,528,293,331,2,3,3,1360,511,490,51
Wolves,30,33,73,2,2,439,368,58,476,273,403,0,7,3,1436,390,429,47.6
