Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1-Mar,PPA,CrsPA,PrgP
Arsenal,25,34,15412,18278,84.3,252697,78773,7724,8427,91.7,6475,7266,89.1,947,1834,51.6,50,40.4,40.8,9.6,377,1253,393,66,1655
Aston Villa,28,34,13346,16095,82.9,228211,79269,6169,6825,90.4,5953,6687,89,961,1810,53.1,41,38.6,33.4,2.4,329,1028,287,51,1197
Bournemouth,29,33,11092,14548,76.2,201485,75762,4788,5558,86.1,4873,5768,84.5,1194,2480,48.1,37,40.3,32.1,-3.3,397,1085,294,87,1318
Brentford,28,33,11699,14970,78.1,214210,81819,5135,5919,86.8,5082,5997,84.7,1259,2371,53.1,37,36.1,33.4,0.9,286,966,285,78,1180
Brighton,31,33,13750,16678,82.4,234298,79787,6632,7337,90.4,5676,6491,87.4,1161,2102,55.2,33,35.3,33.6,-2.3,319,1030,295,79,1332
Chelsea,29,33,16102,18956,84.9,278242,87547,7201,7855,91.7,7360,8138,90.4,1226,2209,55.5,43,47.6,38.4,-4.6,416,1339,324,68,1430
Crystal Palace,29,34,10754,14232,75.6,193429,72416,4718,5506,85.7,4796,5728,83.7,1024,2291,44.7,32,39.2,31.3,-7.2,331,813,243,60,1036
Everton,26,33,9617,12752,75.4,182164,72835,4251,4941,86,3861,4595,84,1314,2516,52.2,20,27.2,23.8,-7.2,264,863,226,75,881
Fulham,26,33,14072,17208,81.8,251541,85143,6217,6944,89.5,6294,7143,88.1,1306,2363,55.3,40,33.1,30.1,6.9,335,1157,278,84,1338
Ipswich Town,32,33,9966,12833,77.7,177106,67643,4488,5090,88.2,4389,5152,85.2,892,1919,46.5,24,21,18.4,3,238,747,145,43,804
Leicester City,30,33,12169,15303,79.5,203465,73423,5907,6608,89.4,5009,5778,86.7,932,2071,45,21,22.2,21.9,-1.2,220,862,193,61,954
Liverpool,24,33,15906,18922,84.1,270688,90982,7550,8237,91.7,6780,7662,88.5,1233,2209,55.8,56,52.7,46.4,3.3,442,1391,386,75,1673
Manchester City,29,34,19263,21833,88.2,312666,87972,9899,10663,92.8,7985,8700,91.8,1120,1793,62.5,47,49.2,48,-2.2,425,1495,385,57,1710
Manchester Utd,31,33,14564,17681,82.4,239574,77647,7167,7950,90.2,5899,6689,88.2,1065,2093,50.9,24,32.5,29.9,-8.5,334,979,272,61,1215
Newcastle Utd,24,33,13192,16246,81.2,222213,78565,6396,7163,89.3,5533,6314,87.6,1000,1981,50.5,46,40.4,35.7,5.6,335,954,315,61,1316
Nott'ham Forest,23,33,9088,12145,74.8,155343,63333,4540,5193,87.4,3317,4136,80.2,878,2015,43.6,38,29.1,25.7,8.9,293,799,201,50,936
Southampton,35,33,13896,16545,84,235235,75723,6549,7182,91.2,5993,6669,89.9,1026,1959,52.4,14,22.5,21.4,-8.5,248,900,199,54,1023
Tottenham,31,33,15185,18180,83.5,251724,84984,7055,7824,90.2,6733,7547,89.2,983,1799,54.6,45,41.2,34.6,3.8,358,1193,354,81,1501
West Ham,27,33,12567,15642,80.3,220745,78264,5886,6634,88.7,5322,6112,87.1,1167,2229,52.4,21,29.3,27.3,-8.3,291,931,236,64,1056
Wolves,30,33,12124,15094,80.3,207249,71158,5717,6375,89.7,4951,5650,87.6,1072,2161,49.6,36,30.5,22.5,5.5,268,865,239,60,1010
