Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,25,34,18278,16807,1396,385,68,69,700,543,230,198,3,2,15412,75,250
Aston Villa,28,34,16095,14519,1526,516,83,48,546,453,213,141,21,1,13346,50,316
Bournemouth,29,33,14548,13008,1479,369,50,68,729,597,203,150,17,3,11092,61,268
Brentford,28,33,14970,13534,1374,339,58,60,586,514,148,115,2,0,11699,62,253
Brighton,31,33,16678,15221,1421,431,66,68,591,536,161,92,41,6,13750,36,269
Chelsea,29,33,18956,17470,1432,456,74,85,590,513,202,112,29,7,16102,54,264
Crystal Palace,29,34,14232,12712,1454,396,60,53,540,554,156,101,18,0,10754,66,270
Everton,26,33,12752,11260,1416,361,27,71,585,597,138,88,24,11,9617,76,273
Fulham,26,33,17208,15723,1448,395,39,101,759,564,178,74,80,0,14072,37,300
Ipswich Town,32,33,12833,11413,1374,373,40,54,436,493,129,97,17,1,9966,46,270
Leicester City,30,33,15303,13762,1486,382,50,39,560,595,124,80,23,3,12169,55,278
Liverpool,24,33,18922,17397,1471,388,57,119,637,599,221,130,61,1,15906,54,285
Manchester City,29,34,21833,20388,1403,402,80,79,574,530,225,108,34,4,19263,42,299
Manchester Utd,31,33,17681,16250,1371,355,78,97,536,559,170,92,37,9,14564,60,301
Newcastle Utd,24,33,16246,14670,1510,432,66,76,569,597,181,109,16,12,13192,66,307
Nott'ham Forest,23,33,12145,10677,1390,381,49,49,496,512,133,63,60,0,9088,78,244
Southampton,35,33,16545,15155,1347,416,41,54,498,433,134,90,27,0,13896,43,238
Tottenham,31,33,18180,16475,1652,498,49,61,702,606,231,103,59,0,15185,53,387
West Ham,27,33,15642,14176,1402,386,52,116,528,512,137,73,52,1,12567,64,292
Wolves,30,33,15094,13603,1433,429,52,102,476,581,114,76,27,2,12124,58,280
