Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,25,26.6,34,"3,060",90,100,34,374,83,245,126,19,180,1.97,63,29,34,1,53,29,24,0.71
Aston Villa,28,27.8,34,"3,060",90,100,34,374,80,220,154,24,150,1.68,54,49,5,0.15,52.4,45,7.3,0.22
Bournemouth,29,25.9,33,"2,970",90,100,33,363,83,223,140,19,157,1.48,52,40,12,0.36,59,42,17,0.52
Brentford,28,26.6,33,"2,970",90,100,33,363,85,241,123,15,174,1.39,56,50,6,0.18,49.7,50.1,-0.4,-0.01
Brighton,31,25.6,33,"2,970",90,100,33,363,82,200,160,18,137,1.45,53,53,0,0,50.7,46.4,4.3,0.13
Chelsea,29,24.4,33,"2,970",90,100,33,363,83,238,125,20,172,1.73,58,40,18,0.55,61.3,42.8,18.5,0.56
Crystal Palace,29,26.9,34,"3,060",90,100,34,374,83,240,131,18,175,1.32,43,47,-4,-0.12,51.3,44.2,7.2,0.21
Everton,26,28.8,33,"2,970",90,100,33,363,84,253,108,19,188,1.15,34,40,-6,-0.18,35.9,41.4,-5.5,-0.17
Fulham,26,28.7,33,"2,970",90,100,33,363,83,209,154,16,143,1.45,48,45,3,0.09,42.8,39,3.8,0.11
Ipswich Town,32,26.5,33,"2,970",90,100,33,363,82,206,155,17,142,0.64,33,71,-38,-1.15,30.3,66.5,-36.2,-1.1
Leicester City,30,27.3,33,"2,970",90,100,33,363,83,220,143,19,154,0.55,27,73,-46,-1.39,28,65.1,-37.1,-1.13
Liverpool,24,27.9,33,"2,970",90,100,33,363,82,222,141,19,156,2.39,75,31,44,1.33,72.2,28.5,43.7,1.32
Manchester City,29,27.5,34,"3,060",90,100,34,374,85,261,113,16,189,1.79,66,43,23,0.68,61.2,44.8,16.3,0.48
Manchester Utd,31,26.3,33,"2,970",90,100,33,363,81,224,137,22,159,1.15,38,46,-8,-0.24,43.4,47.7,-4.3,-0.13
Newcastle Utd,24,28.1,33,"2,970",90,100,33,363,83,220,142,18,155,1.79,62,44,18,0.55,55.4,42.3,13.1,0.4
Nott'ham Forest,23,26.9,33,"2,970",90,100,33,363,82,213,148,19,148,1.82,53,39,14,0.42,39.5,42.1,-2.6,-0.08
Southampton,35,26,33,"2,970",90,100,33,363,80,204,158,22,139,0.33,24,78,-54,-1.64,29.6,74.3,-44.7,-1.36
Tottenham,31,25.9,33,"2,970",90,100,33,363,82,224,140,21,156,1.12,61,51,10,0.3,54.3,53.3,1,0.03
West Ham,27,28.8,33,"2,970",90,100,33,363,81,210,150,22,147,1.09,37,55,-18,-0.55,41,52.8,-11.9,-0.36
Wolves,30,27.6,33,"2,970",90,100,33,363,83,221,141,18,155,1.15,48,61,-13,-0.39,38,51.6,-13.6,-0.41
