Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1-Mar,CPA,Mis,Dis,Rec,PrgR
Arsenal,25,57.1,34,21653,1620,5421,9417,6975,1157,21651,654,284,43.4,287,43.9,12722,67374,35912,755,470,259,425,345,15264,1632
Aston Villa,28,51,34,19630,2368,6614,8373,4837,867,19624,656,293,44.7,271,41.3,11100,61400,32196,646,407,196,459,345,13102,1185
Bournemouth,29,48,33,18753,1942,5612,8029,5345,897,18746,603,261,43.3,271,44.9,10098,59063,31554,660,455,209,523,313,10987,1304
Brentford,28,47.7,33,18788,2915,7362,6977,4621,857,18783,544,227,41.7,253,46.5,9934,53699,27357,516,320,183,455,259,11522,1164
Brighton,31,52.5,33,20600,2265,6610,8974,5248,916,20595,723,298,41.2,356,49.2,12041,66715,36397,696,495,214,501,308,13590,1317
Chelsea,29,58.4,33,22334,2072,6670,10042,5804,1015,22330,677,276,40.8,291,43,13005,69387,36677,762,437,277,401,269,15971,1413
Crystal Palace,29,43,34,18333,2282,6865,7643,3999,695,18330,431,185,42.9,202,46.9,9207,46593,22590,450,318,110,444,307,10672,1023
Everton,26,40.3,33,16674,2129,6039,6661,4159,635,16672,572,257,44.9,273,47.7,8041,43357,21368,421,309,109,451,340,9541,868
Fulham,26,51.9,33,20804,2296,7023,8623,5380,809,20800,569,257,45.2,227,39.9,12325,63595,32888,680,476,198,442,252,13942,1326
Ipswich Town,32,40.5,33,16588,2634,6762,6546,3464,514,16586,538,239,44.4,239,44.4,8280,46167,22357,436,290,129,476,305,9872,792
Leicester City,30,45.5,33,19044,2509,6964,8647,3622,560,19042,568,231,40.7,273,48.1,10792,54480,27015,519,326,123,442,287,12071,946
Liverpool,24,57.7,33,22523,2000,6114,10178,6429,1141,22514,582,270,46.4,264,45.4,12971,65959,35267,721,487,282,463,300,15734,1661
Manchester City,29,61.4,34,25093,1905,5869,10809,8621,1179,25090,720,345,47.9,270,37.5,16134,92605,49928,1015,761,351,418,357,19002,1689
Manchester Utd,31,53,33,21423,2230,7549,9093,4979,810,21420,549,231,42.1,279,50.8,13083,64680,32522,586,407,199,436,321,14424,1202
Newcastle Utd,24,50.3,33,19861,2039,6647,8365,5048,896,19857,588,258,43.9,259,44,11355,61191,30833,641,397,228,412,401,13096,1307
Nott'ham Forest,23,39.8,33,16182,2186,5607,6439,4343,667,16179,531,241,45.4,209,39.4,7374,42596,22725,544,346,162,493,276,9014,930
Southampton,35,49.8,33,20157,2567,7311,8685,4342,620,20155,643,271,42.1,292,45.4,11297,59925,30898,588,432,149,411,310,13769,1015
Tottenham,31,56.9,33,21969,2214,7046,9300,5839,945,21966,728,280,38.5,376,51.6,13812,75799,38304,770,518,228,472,378,15064,1492
West Ham,27,47.7,33,19568,2551,7203,8350,4203,732,19565,676,296,43.8,302,44.7,9887,50578,25671,544,347,153,429,347,12473,1049
Wolves,30,47.3,33,18966,2263,6669,8534,3999,614,18965,616,273,44.3,260,42.2,10399,56374,28870,516,396,125,505,313,12030,1004
