Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,25,34,61,481,157,32.6,14.15,4.62,0.12,0.38,15,9,2,2,53,51.5,0.11,8,7.5
Aston Villa,28,34,52,438,145,33.1,12.88,4.26,0.11,0.34,16.2,12,3,6,52.4,47.6,0.11,-0.4,1.4
Bournemouth,29,33,51,519,176,33.9,15.73,5.33,0.09,0.26,16.7,8,6,7,59,53.5,0.11,-8,-8.5
Brentford,28,33,56,373,148,39.7,11.3,4.48,0.14,0.34,15.2,10,5,5,49.7,45.8,0.13,6.3,5.2
Brighton,31,33,51,452,152,33.6,13.7,4.61,0.1,0.3,17.1,24,5,5,50.7,46.9,0.11,0.3,-0.9
Chelsea,29,33,56,537,183,34.1,16.27,5.55,0.1,0.29,16.8,16,3,4,61.3,58.1,0.11,-5.3,-5.1
Crystal Palace,29,34,41,448,149,33.3,13.18,4.38,0.09,0.26,17,18,2,3,51.3,49,0.11,-10.3,-10
Everton,26,33,31,352,116,33,10.67,3.52,0.08,0.25,17.1,10,2,2,35.9,34.3,0.1,-4.9,-5.3
Fulham,26,33,47,432,143,33.1,13.09,4.33,0.1,0.31,16.5,8,3,4,42.8,39.6,0.09,4.2,4.4
Ipswich Town,32,33,32,313,105,33.5,9.48,3.18,0.1,0.29,17.6,10,2,2,30.3,28.8,0.09,1.7,1.2
Leicester City,30,33,27,289,91,31.5,8.76,2.76,0.09,0.27,17.4,6,2,2,28,26.5,0.09,-1,-1.5
Liverpool,24,33,75,557,194,34.8,16.88,5.88,0.12,0.34,15.9,8,9,9,72.2,65.2,0.12,2.8,0.8
Manchester City,29,34,65,537,193,35.9,15.79,5.68,0.12,0.33,16.8,17,2,3,61.2,58.7,0.11,3.8,4.3
Manchester Utd,31,33,36,436,142,32.6,13.21,4.3,0.08,0.23,17.2,14,3,3,43.4,41,0.1,-7.4,-8
Newcastle Utd,24,33,60,437,139,31.8,13.24,4.21,0.13,0.41,15.9,10,3,4,55.4,52.2,0.12,4.6,4.8
Nott'ham Forest,23,33,52,399,142,35.6,12.09,4.3,0.12,0.35,17.7,12,3,3,39.5,37.1,0.1,12.5,11.9
Southampton,35,33,23,311,97,31.2,9.42,2.94,0.07,0.24,16.4,6,0,2,29.6,27.9,0.09,-6.6,-4.9
Tottenham,31,33,58,464,169,36.4,14.06,5.12,0.12,0.33,15.9,10,2,3,54.3,52,0.12,3.7,4
West Ham,27,33,34,415,116,28,12.58,3.52,0.07,0.27,16.4,13,3,3,41,38.7,0.1,-7,-7.7
Wolves,30,33,47,365,138,37.8,11.06,4.18,0.13,0.34,18.1,17,0,0,38,38,0.11,9,9
