Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,26.6,57.1,34,374,"3,060",34,61,50,111,59,2,2,64,5,53,51.5,40.4,91.9,755,1655,1.79,1.47,3.26,1.74,3.21,1.56,1.19,2.75,1.51,2.7
Aston Villa,28,27.8,51,34,374,"3,060",34,52,41,93,49,3,6,68,2,52.4,47.6,38.6,86.2,646,1197,1.53,1.21,2.74,1.44,2.65,1.54,1.14,2.68,1.4,2.54
Bournemouth,29,25.9,48,33,363,"2,970",33,51,37,88,45,6,7,84,1,59,53.5,40.3,93.8,660,1318,1.55,1.12,2.67,1.36,2.48,1.79,1.22,3.01,1.62,2.84
Brentford,28,26.6,47.7,33,363,"2,970",33,56,37,93,51,5,5,48,1,49.7,45.8,36.1,81.9,516,1180,1.7,1.12,2.82,1.55,2.67,1.5,1.09,2.6,1.39,2.48
Brighton,31,25.6,52.5,33,363,"2,970",33,51,33,84,46,5,5,72,3,50.7,46.9,35.3,82.2,696,1332,1.55,1,2.55,1.39,2.39,1.54,1.07,2.61,1.42,2.49
Chelsea,29,24.4,58.4,33,363,"2,970",33,56,43,99,53,3,4,94,1,61.3,58.1,47.6,105.7,762,1430,1.7,1.3,3,1.61,2.91,1.86,1.44,3.3,1.76,3.2
Crystal Palace,29,26.9,43,34,374,"3,060",34,41,32,73,39,2,3,75,4,51.3,49,39.2,88.2,450,1036,1.21,0.94,2.15,1.15,2.09,1.51,1.15,2.66,1.44,2.59
Everton,26,28.8,40.3,33,363,"2,970",33,31,20,51,29,2,2,73,2,35.9,34.3,27.2,61.5,421,881,0.94,0.61,1.55,0.88,1.48,1.09,0.83,1.91,1.04,1.86
Fulham,26,28.7,51.9,33,363,"2,970",33,47,40,87,44,3,4,69,2,42.8,39.6,33.1,72.7,680,1338,1.42,1.21,2.64,1.33,2.55,1.3,1,2.3,1.2,2.2
Ipswich Town,32,26.5,40.5,33,363,"2,970",33,32,24,56,30,2,2,81,4,30.3,28.8,21,49.8,436,804,0.97,0.73,1.7,0.91,1.64,0.92,0.64,1.56,0.87,1.51
Leicester City,30,27.3,45.5,33,363,"2,970",33,27,21,48,25,2,2,76,0,28,26.5,22.2,48.7,519,954,0.82,0.64,1.45,0.76,1.39,0.85,0.67,1.52,0.8,1.48
Liverpool,24,27.9,57.7,33,363,"2,970",33,75,56,131,66,9,9,60,2,72.2,65.2,52.7,117.9,721,1673,2.27,1.7,3.97,2,3.7,2.19,1.6,3.78,1.98,3.57
Manchester City,29,27.5,61.4,34,374,"3,060",34,65,47,112,63,2,3,58,1,61.2,58.7,49.2,107.9,1015,1710,1.91,1.38,3.29,1.85,3.24,1.8,1.45,3.24,1.73,3.17
Manchester Utd,31,26.3,53,33,363,"2,970",33,36,24,60,33,3,3,74,3,43.4,41,32.5,73.5,586,1215,1.09,0.73,1.82,1,1.73,1.32,0.98,2.3,1.24,2.23
Newcastle Utd,24,28.1,50.3,33,363,"2,970",33,60,46,106,57,3,4,58,1,55.4,52.2,40.4,92.6,641,1316,1.82,1.39,3.21,1.73,3.12,1.68,1.22,2.9,1.58,2.81
Nott'ham Forest,23,26.9,39.8,33,363,"2,970",33,52,38,90,49,3,3,71,2,39.5,37.1,29.1,66.2,544,936,1.58,1.15,2.73,1.48,2.64,1.2,0.88,2.08,1.13,2.01
Southampton,35,26,49.8,33,363,"2,970",33,23,14,37,23,0,2,82,3,29.6,27.9,22.5,50.4,588,1023,0.7,0.42,1.12,0.7,1.12,0.9,0.68,1.58,0.84,1.53
Tottenham,31,25.9,56.9,33,363,"2,970",33,58,45,103,56,2,3,63,1,54.3,52,41.2,93.2,770,1501,1.76,1.36,3.12,1.7,3.06,1.65,1.25,2.9,1.57,2.82
West Ham,27,28.8,47.7,33,363,"2,970",33,34,21,55,31,3,3,71,3,41,38.7,29.3,68,544,1056,1.03,0.64,1.67,0.94,1.58,1.24,0.89,2.13,1.17,2.06
Wolves,30,27.6,47.3,33,363,"2,970",33,47,36,83,47,0,0,73,2,38,38,30.5,68.5,516,1010,1.42,1.09,2.52,1.42,2.52,1.15,0.92,2.07,1.15,2.07
